Date,Ticker,Quantity,Entry_Price,Value,Cost_Basis,,,,,
10/20/2023,SPY,0.05,422.8,21.14,21.14
2024-01-29,SPY,0.008,0,3.3824,3.3824
2024-04-26,SPY,0.002,0,0.8456,0.8456
2024-04-30,SPY,0.1,505.5,50.55,50.55
2024-05-01,SPY,0.14,501.86,70.2604,70.2604
2024-06-26,SPY,0.2,544.35,108.87,108.87
2024-07-18,SPY,0.5,553.08,276.54,276.54
2024-07-30,SPY,0.001,0,0.55308,0.55308
2024-10-30,SPY,0.003,0,1.65924,1.65924
2023-10-04,GLD,0.2,168.65,33.73,33.73
2024-01-09,GLD,0.5,188.68,94.34,94.34
2024-04-30,GLD,0.3,212.37,63.711,63.711
2024-06-26,GLD,1,212.6,212.6,212.6
2024-01-10,IAU,0.3,38.3,11.49,11.49
2024-01-18,IAU,0.7,38.19,26.733,26.733
2024-01-30,IAU,1,38.51,38.51,38.51
2024-04-30,IAU,1,43.39,43.39,43.39
2024-09-30,IAU,0.1,49.8,4.98,4.98
2024-10-07,IAU,0.1,50,5,5
2024-10-14,IAU,0.099,50,4.95,4.95
2024-10-21,IAU,0.096,51.56,4.94976,4.94976
2024-10-28,IAU,0.096,51.77,4.96992,4.96992
2024-11-04,IAU,0.096,51.77,4.96992,4.96992
2024-11-11,IAU,0.1,49.5,4.95,4.95
2024-11-18,IAU,0.101,49.31,4.98031,4.98031
2024-11-25,IAU,0.1,49.7,4.97,4.97
2023-09-21,DIA,0.293,342.29,100.29097,100.29097
2023-10-03,DIA,0.5,330.44,165.22,165.22
2023-11-09,DIA,0.001,0,0.33044,0.33044
2023-12-07,DIA,0.003,0,0.99132,0.99132
2024-01-09,DIA,0.2,375.35,75.07,75.07
2024-01-11,DIA,0.003,0,1.12605,1.12605
2024-02-08,DIA,0.001,0,0.37535,0.37535
2024-03-07,DIA,0.002,0,0.7507,0.7507
2024-04-11,DIA,0.002,0,0.7507,0.7507
2024-05-09,DIA,0.001,0,0.37535,0.37535
2024-06-14,DIA,0.002,0,0.7507,0.7507
2024-07-12,DIA,0.002,0,0.7507,0.7507
2024-08-01,DIA,0.5,401.84,187.675,187.675
2024-08-09,DIA,0.001,0,0.37535,0.37535
2024-09-13,DIA,0.001,0,0.37535,0.37535
2024-09-30,DIA,0.023,422.61,9.72003,9.72003
2024-10-07,DIA,0.023,422.17,9.70991,9.70991
2024-10-14,DIA,0.023,428.7,9.8601,9.8601
2024-10-21,DIA,0.023,431.74,9.93002,9.93002
2024-10-28,DIA,0.023,424.35,9.76005,9.76005
2024-11-04,DIA,0.023,419.57,9.65011,9.65011
2024-11-11,DIA,0.022,444.09,9.76998,9.76998
2024-11-18,DIA,0.023,433.91,9.97993,9.97993
2024-11-25,DIA,0.022,447.73,9.85006,9.85006
2024-01-09,VOO,0.05,435.8,21.79,21.79
2024-02-14,VOO,0.05,455.6,22.78,22.78
2024-04-16,VOO,0.4,463.32,185.328,185.328
2024-04-25,VOO,0.3,458.57,137.571,137.571
2024-04-30,VOO,0.2,464.65,92.93,92.93
2024-07-01,VOO,0.004,0,1.8586,1.8586
2024-08-01,VOO,0.1,497.2,49.72,49.72
2024-08-02,VOO,0.5,488.08,244.04,244.04
2024-09-30,VOO,0.028,525,14.7,14.7
2024-10-07,VOO,0.028,525,14.7,14.7
2024-10-14,VOO,0.027,536.3,14.4801,14.4801
2024-10-21,VOO,0.027,536.3,14.4801,14.4801
2024-10-28,VOO,0.028,534.64,14.96992,14.96992
2024-11-04,VOO,0.028,525.71,14.71988,14.71988
2024-11-11,VOO,0.027,550.74,14.86998,14.86998
2024-11-18,VOO,0.027,539.26,14.56002,14.56002
2024-11-25,VOO,0.027,550.37,14.85999,14.85999
2023-11-30,VTV,0.01,142,1.42,1.42
2023-12-07,VTV,0.09,143.67,12.9303,12.9303
2024-01-09,VTV,0.4,149.97,59.988,59.988
2024-01-18,VTV,0.5,147.34,73.67,73.67
2024-03-25,VTV,0.006,0,0.88404,0.88404
2024-06-26,VTV,1,160.89,160.89,160.89
2024-06-28,VTV,0.013,0,2.09157,2.09157
2024-08-01,VTV,1,165.84,165.84,165.84
2024-08-02,VTV,1,163.05,163.05,163.05
2024-09-27,VTV,0.021,0,3.42405,3.42405
2024-09-30,VTV,0.028,174.29,4.88012,4.88012
2024-10-07,VTV,0.028,174.29,4.88012,4.88012
2024-10-14,VTV,0.028,176.43,4.94004,4.94004
2024-10-21,VTV,0.028,176.79,4.95012,4.95012
2024-10-28,VTV,0.028,174.29,4.88012,4.88012
2024-11-04,VTV,0.029,172.07,4.99003,4.99003
2024-11-11,VTV,0.027,180,4.86,4.86
2024-11-18,VTV,0.028,176.43,4.94004,4.94004
2024-11-25,VTV,0.027,181.85,4.90995,4.90995
2024-08-01,IVV,0.2,542.55,108.51,108.51
2024-08-01,IVV,0.1,542.8,54.28,54.28
2024-08-02,IVV,0.2,555.55,111.11,111.11
2024-08-02,IVV,0.3,533.63,160.089,160.089
2024-08-02,IVV,0.3,534.13,160.239,160.239
2024-09-30,IVV,0.026,574.23,14.92998,14.92998
2024-10-07,IVV,0.026,574.62,14.94012,14.94012
2024-10-14,IVV,0.025,586.4,14.66,14.66
2024-10-21,IVV,0.025,587.2,14.68,14.68
2024-10-28,IVV,0.025,585.2,14.63,14.63
2024-11-04,IVV,0.026,574.62,14.94012,14.94012
2024-11-11,IVV,0.024,602.08,14.44992,14.44992
2024-11-18,IVV,0.025,590.8,14.77,14.77
2024-11-25,IVV,0.024,602.08,14.44992,14.44992
